_change_type,_scope,_changed_fields,date,end_date,summary,suggested_school,match_confidence,event_type,arrival_time,start_time,photographers,location,picture_day_info,uid,client_event_id,needs_review,possible_duplicate_in_ics,status,last_modified
MODIFIED,future_calendar_events,"summary, suggested_school, last_modified",2026-10-14,2026-10-14,Shatekon Elementary (2 teams),Shatekon Elementary,High,review,7:15am,7:45am,,"Shatekon Elementary School, 35 Maxwell Dr, Clifton Park, NY 12065, USA","Melissa O'Hara, main office admin
oharmeli@shenschools.org
set up: 7:15am
start: 7:45am staff, classes at 8:15am
Indoor 
**Pictures will take place in the ELA room. Room 351***
Individuals of all students and faculty
Collages
Service strips
Full yearbook support, Treering",7khuv5q01vlolsd5tbc85mh0k9@google.com,ics_578e2b6c8f7efd5e,,,CONFIRMED,20260601T185731Z
MODIFIED,future_calendar_events,"summary, suggested_school, last_modified",2026-10-19,2026-10-19,Duanesburg Makeup Day Elem & MSHS (1 team),Duanesburg Elementary School & MSHS,Medium,makeup/retake,,,,,"Leah Simpson, elementary school admin
lsimpson@duanesburg.org

Andrea Hunter, high school admin
ahunter@duanesburg.org

Both schools on same day",2jjvhdkf7mvbv59vd1s7ocn4l7@google.com,ics_5ec082703a7cf501,,,CONFIRMED,20260601T185818Z
MODIFIED,future_calendar_events,"summary, suggested_school, last_modified",2026-11-13,2026-11-13,Waterford-Halfmoon MS/HS Makeups (1 team),Waterford-Halfmoon Middle School/High School,High,makeup/retake,,,,"Waterford-Halfmoon Union Free School District, 125 Middletown Rd, Waterford, NY 12188, USA","Kayla Ramundo, main contact for pictures and yearbook
kraymundo@whufsd.org

Arrive: 
Start:",19ce6ceku24tlkte57so694rq1@google.com,ics_2bdd0217bfd06a3a,,,CONFIRMED,20260603T144221Z
MODIFIED,future_calendar_events,"summary, suggested_school, last_modified",2026-11-17,2026-11-17,Shatekon Makeups (1 team),Shatekon,High,makeup/retake,9:30am,10:00am,,"Shatekon Elementary School, 35 Maxwell Dr, Clifton Park, NY 12065, USA","Melissa O'Hara, main office admin
oharmeli@shenschools.org
set up: 9:30am
start: 10am
Indoor in CONFERENCE RM
Individuals of all students and faculty
Collages",4g4c1cfub3897gugbtjufsl8dt@google.com,ics_3f7ccebc4a39123c,,,CONFIRMED,20260601T185737Z
MODIFIED,future_calendar_events,"summary, suggested_school, picture_day_info, last_modified",2026-11-18,2026-11-18,NEW No. Albany MS MAKEUPS,NEW No. Albany Middle School,Review,makeup/retake,,,,,"NAMS PTA
acsdnamspta@gmail.com
Kim Ruchelm, PTA picture day contact
kimberlyruchel@gmail.com

Renee Serbu, PTA picture day contact
renee.serbu@gmail.com
Arrive:  
Start:  
NEW FALL 2026
Eagle Point PTA referral (many EPES, and ASH kids are here) 
Indoor during PE periods 
Ask about ID cards 
Yearbook - find out details",0ico1uqsfdn3ce6bdc4k42t7d1@google.com,ics_292423f07890bffe,YES,,CONFIRMED,20260603T145249Z
MODIFIED,future_calendar_events,"summary, suggested_school, last_modified",2027-03-04,2027-03-04,Shatekon Grad Photos (1 team),Shatekon,High,graduation/pano,7:15am,7:45am,,"Shatekon Elementary School, 35 Maxwell Dr, Clifton Park, NY 12065, USA","Lisa Kelley, 5th grade aide/pic day contact
kelllisa@shenschools.org

Melissa O'Hara, main office admin
oharmeli@shenschools.org

Arrive: 7:15am
Start: 7:45am (staff)
8:15am (5th Graders)
main conference room

5 classes of 5th graders (approx 100 students)
ONLY cap & gown pics - we provide caps and gowns
Matt estimated we'd need about 20 minutes per class

2/10/26 done ckg; 1/8/26 make sure school nows about price increase to $4 per folder ckg
Making grad folders, PTO paying $4 each. Will personalize for school.",0phkv55ndsq03ujsqpjrjc3d67@google.com,ics_f0e3560aa87fd4f4,,,CONFIRMED,20260601T185741Z
MODIFIED,future_calendar_events,"summary, suggested_school, last_modified",2027-04-23,2027-04-23,Shatekon Elem Spring Pic Day (2 teams plus one extra photog),Shatekon Elementary School Spring Pic Day,High,graduation/pano,7:45am,8:15am,,"Shatekon Elementary School, 35 Maxwell Dr, Clifton Park, NY 12065, USA","Melissa O'Hara, principal's aide
oharmeli@shenschools.org
Setup: 7:45am
Start: 8:15am
Outdoor, 5th grade group class photo on same day. 3/28/25 steph approved adding one teacher to pano)
PUSH INSIDE IF BAD WEATHER - RAIN DATE IS ONLY FOR PANO!
Individuals of all students and new staff
PANO is 8x24, one for each 5th grader and teacher AND 1 framed for school. Free because we are photographing their entire school this spring.",2jrdfmui23bfplfntj73k92v1u@google.com,ics_07051c5660f6d7c2,,,CONFIRMED,20260601T185746Z
MODIFIED,future_calendar_events,"summary, suggested_school, last_modified",2027-04-26,2027-04-26,Shatekon PANO RAIN DATE (1 photog),Shatekon,High,graduation/pano,,,,"Shatekon Elementary School, 35 Maxwell Dr, Clifton Park, NY 12065, USA",Rain date for PANO only per school,7ne1edgppoms4ccm1ob22a5e6g@google.com,ics_dc59af754a4182c8,,,CONFIRMED,20260601T185751Z
MODIFIED,future_calendar_events,"date, end_date, last_modified",2027-05-06,2027-05-06,Milton Terrace Spring Photos + 5th Grade Pano (2 teams),Milton Terrace Spring,High,graduation/pano,9:00am,9:30am,,"Milton Terrace Elementary School, 200 Wood Rd, Ballston Spa, NY 12020, USA","Sarah Kinney, school admin asst
skinney@bscsd.org

Setup: 9am
Start: 9:30am

QUICK TURNAROUND FOR YEARBOOK

Outdoor, PUSH INDOORS TO STAGE IF BAD WEATHER, pano will be moved to rain date
450 students
5th grade group photo OUTDOOR ONLY",1hi6tj3ms1siidrdc8ekrc32ic@google.com,ics_c9cef57b26bcdfb9,,,CONFIRMED,20260601T191610Z
MODIFIED,future_calendar_events,last_modified,2027-05-10,2027-05-10,Milton Terrace RAIN 5th Grade Photo (1 photog),Milton Terrace RAIN 5th Grade Photo,High,graduation/pano,,,,"Milton Terrace Elementary School, 200 Wood Rd, Ballston Spa, NY 12020, USA","Sarah Kinney, NEW main office admin
skinney@bscsd.org
NOT SURE YET WHAT TIME...",7mp2mn52n63v3ek5f7evsebkcc@google.com,ics_f99caba72e4d706c,,,CONFIRMED,20260601T191615Z
MODIFIED,future_calendar_events,"date, end_date, last_modified",2027-05-12,2027-05-12,Wood Road Spring Pics & 5th Grade Pano (2 teams),Wood Road &,High,graduation/pano,8:45am,9:15am,,"Wood Road Elementary School, 300 Wood Rd, Ballston Spa, NY 12020, USA","WILL BE NEW (MaryBeth retired), main office admin
EMAIL: 
Setup: 8:45 am
Start:   9:15 am
Outdoor push in for bad weather
Individuals of all students
5th grade group photo unless it rains, use rain date",3q9034cf0tovjbcgrq818jsntk@google.com,ics_230ef2c4366c2517,,,CONFIRMED,20260602T131529Z
MODIFIED,future_calendar_events,"summary, date, end_date, suggested_school, last_modified",2027-05-19,2027-05-19,DES Spring Photos (2 teams),DES Spring,High,spring picture day,,9:00am,,"Duanesburg Elementary School, 165 Chadwick Rd, Delanson, NY 12053, USA","Kerry Utstein pTO
kutstein@dcpta.org
Leah Simpson, elem school
lsimpson@duanesburg.org
Setup at elementary school 8:30am
Start time: 9:00am
Outdoor of only students, PUSH INDOORS if bad weather
10% fundraiser for the DCPTA",1n2jpk7bbs6281aqq8lapnf9n1@google.com,ics_b75240fe4f6b464b,,,CONFIRMED,20260603T164246Z
