scope,uid,date_old,date_new,summary_old,summary_new,field,old_value,new_value
future_calendar_events,5sf2t0ug9gq5r44htrpofaplaf@google.com,2026-09-01,2026-09-01,Waterford-Halfmoon Fall Sports (1 team),HOLD Waterford-Halfmoon Fall Sports (1 team),last_modified,20260601T151219Z,20260603T153436Z
future_calendar_events,06cr3lqhdfpk7nk7hpipbqogie@google.com,2026-09-16,2026-09-16,HOLD Duanesburg MS/HS (1 team),Duanesburg MS/HS (1 team),summary,HOLD Duanesburg MS/HS (1 team),Duanesburg MS/HS (1 team)
future_calendar_events,06cr3lqhdfpk7nk7hpipbqogie@google.com,2026-09-16,2026-09-16,HOLD Duanesburg MS/HS (1 team),Duanesburg MS/HS (1 team),suggested_school,HOLD Duanesburg Middle School/High School,Duanesburg Middle School/High School
future_calendar_events,06cr3lqhdfpk7nk7hpipbqogie@google.com,2026-09-16,2026-09-16,HOLD Duanesburg MS/HS (1 team),Duanesburg MS/HS (1 team),last_modified,20260601T170321Z,20260601T185805Z
future_calendar_events,18ljms0s90vdqce69gnfhtf71a@google.com,2026-09-18,2026-09-18,HOLD Duanesburg Elementary (2 teams+1),Duanesburg Elementary (2 teams+1),summary,HOLD Duanesburg Elementary (2 teams+1),Duanesburg Elementary (2 teams+1)
future_calendar_events,18ljms0s90vdqce69gnfhtf71a@google.com,2026-09-18,2026-09-18,HOLD Duanesburg Elementary (2 teams+1),Duanesburg Elementary (2 teams+1),suggested_school,HOLD Duanesburg Elementary,Duanesburg Elementary
future_calendar_events,18ljms0s90vdqce69gnfhtf71a@google.com,2026-09-18,2026-09-18,HOLD Duanesburg Elementary (2 teams+1),Duanesburg Elementary (2 teams+1),last_modified,20260601T170437Z,20260603T164229Z
future_calendar_events,4jfjvt8e1go890opj06ftuntqm@google.com,2026-10-08,2026-10-08,HOLD Waterford-Halfmoon MS/HS (1 team),Waterford-Halfmoon MS/HS (1 team),summary,HOLD Waterford-Halfmoon MS/HS (1 team),Waterford-Halfmoon MS/HS (1 team)
future_calendar_events,4jfjvt8e1go890opj06ftuntqm@google.com,2026-10-08,2026-10-08,HOLD Waterford-Halfmoon MS/HS (1 team),Waterford-Halfmoon MS/HS (1 team),suggested_school,HOLD Waterford-Halfmoon Middle School/High School,Waterford-Halfmoon Middle School/High School
future_calendar_events,4jfjvt8e1go890opj06ftuntqm@google.com,2026-10-08,2026-10-08,HOLD Waterford-Halfmoon MS/HS (1 team),Waterford-Halfmoon MS/HS (1 team),last_modified,20260601T150859Z,20260603T144213Z
future_calendar_events,4eskhltbs7ugbimeggdjn0buu0@google.com,2026-10-14,2026-10-14,HOLD NEW No. Albany MS (2 teams),NEW No. Albany MS (2 teams),summary,HOLD NEW No. Albany MS (2 teams),NEW No. Albany MS (2 teams)
future_calendar_events,4eskhltbs7ugbimeggdjn0buu0@google.com,2026-10-14,2026-10-14,HOLD NEW No. Albany MS (2 teams),NEW No. Albany MS (2 teams),suggested_school,HOLD NEW No. Albany Middle School,NEW No. Albany Middle School
future_calendar_events,4eskhltbs7ugbimeggdjn0buu0@google.com,2026-10-14,2026-10-14,HOLD NEW No. Albany MS (2 teams),NEW No. Albany MS (2 teams),match_confidence,Review,High
future_calendar_events,4eskhltbs7ugbimeggdjn0buu0@google.com,2026-10-14,2026-10-14,HOLD NEW No. Albany MS (2 teams),NEW No. Albany MS (2 teams),event_type,review,picture day
future_calendar_events,4eskhltbs7ugbimeggdjn0buu0@google.com,2026-10-14,2026-10-14,HOLD NEW No. Albany MS (2 teams),NEW No. Albany MS (2 teams),location,,"North Albany Middle School, 570 N Pearl St, Menands, NY 12204, USA"
future_calendar_events,4eskhltbs7ugbimeggdjn0buu0@google.com,2026-10-14,2026-10-14,HOLD NEW No. Albany MS (2 teams),NEW No. Albany MS (2 teams),picture_day_info,,"NAMS PTA
acsdnamspta@gmail.com

Kim Ruchelm, PTA picture day contact
kimberlyruchel@gmail.com

Renee Serbu, PTA picture day contact
renee.serbu@gmail.com

Arrive: 
Start: 

NEW FALL 2026
Eagle Point PTA referral (many EPES, and ASH kids are here)
Indoor during PE periods
Ask about ID cards
Yearbook - find out details"
future_calendar_events,4eskhltbs7ugbimeggdjn0buu0@google.com,2026-10-14,2026-10-14,HOLD NEW No. Albany MS (2 teams),NEW No. Albany MS (2 teams),last_modified,20260422T135526Z,20260603T145108Z
future_calendar_events,7khuv5q01vlolsd5tbc85mh0k9@google.com,2026-10-14,2026-10-14,HOLD Shatekon Elementary (2 teams),Shatekon Elementary (2 teams),summary,HOLD Shatekon Elementary (2 teams),Shatekon Elementary (2 teams)
future_calendar_events,7khuv5q01vlolsd5tbc85mh0k9@google.com,2026-10-14,2026-10-14,HOLD Shatekon Elementary (2 teams),Shatekon Elementary (2 teams),suggested_school,HOLD Shatekon Elementary,Shatekon Elementary
future_calendar_events,7khuv5q01vlolsd5tbc85mh0k9@google.com,2026-10-14,2026-10-14,HOLD Shatekon Elementary (2 teams),Shatekon Elementary (2 teams),last_modified,20260601T160759Z,20260601T185731Z
future_calendar_events,2jjvhdkf7mvbv59vd1s7ocn4l7@google.com,2026-10-19,2026-10-19,HOLD Duanesburg Makeup Day Elem & MSHS (1 team),Duanesburg Makeup Day Elem & MSHS (1 team),summary,HOLD Duanesburg Makeup Day Elem & MSHS (1 team),Duanesburg Makeup Day Elem & MSHS (1 team)
future_calendar_events,2jjvhdkf7mvbv59vd1s7ocn4l7@google.com,2026-10-19,2026-10-19,HOLD Duanesburg Makeup Day Elem & MSHS (1 team),Duanesburg Makeup Day Elem & MSHS (1 team),suggested_school,HOLD Duanesburg Elementary School & MSHS,Duanesburg Elementary School & MSHS
future_calendar_events,2jjvhdkf7mvbv59vd1s7ocn4l7@google.com,2026-10-19,2026-10-19,HOLD Duanesburg Makeup Day Elem & MSHS (1 team),Duanesburg Makeup Day Elem & MSHS (1 team),last_modified,20260601T170553Z,20260601T185818Z
future_calendar_events,19ce6ceku24tlkte57so694rq1@google.com,2026-11-13,2026-11-13,HOLD Waterford-Halfmoon MS/HS Makeups (1 team),Waterford-Halfmoon MS/HS Makeups (1 team),summary,HOLD Waterford-Halfmoon MS/HS Makeups (1 team),Waterford-Halfmoon MS/HS Makeups (1 team)
future_calendar_events,19ce6ceku24tlkte57so694rq1@google.com,2026-11-13,2026-11-13,HOLD Waterford-Halfmoon MS/HS Makeups (1 team),Waterford-Halfmoon MS/HS Makeups (1 team),suggested_school,HOLD Waterford-Halfmoon Middle School/High School,Waterford-Halfmoon Middle School/High School
future_calendar_events,19ce6ceku24tlkte57so694rq1@google.com,2026-11-13,2026-11-13,HOLD Waterford-Halfmoon MS/HS Makeups (1 team),Waterford-Halfmoon MS/HS Makeups (1 team),last_modified,20260601T151044Z,20260603T144221Z
future_calendar_events,4g4c1cfub3897gugbtjufsl8dt@google.com,2026-11-17,2026-11-17,HOLD Shatekon Makeups (1 team),Shatekon Makeups (1 team),summary,HOLD Shatekon Makeups (1 team),Shatekon Makeups (1 team)
future_calendar_events,4g4c1cfub3897gugbtjufsl8dt@google.com,2026-11-17,2026-11-17,HOLD Shatekon Makeups (1 team),Shatekon Makeups (1 team),suggested_school,HOLD Shatekon,Shatekon
future_calendar_events,4g4c1cfub3897gugbtjufsl8dt@google.com,2026-11-17,2026-11-17,HOLD Shatekon Makeups (1 team),Shatekon Makeups (1 team),last_modified,20260601T160857Z,20260601T185737Z
future_calendar_events,0ico1uqsfdn3ce6bdc4k42t7d1@google.com,2026-11-18,2026-11-18,HOLD NEW No. Albany MS MAKEUPS,NEW No. Albany MS MAKEUPS,summary,HOLD NEW No. Albany MS MAKEUPS,NEW No. Albany MS MAKEUPS
future_calendar_events,0ico1uqsfdn3ce6bdc4k42t7d1@google.com,2026-11-18,2026-11-18,HOLD NEW No. Albany MS MAKEUPS,NEW No. Albany MS MAKEUPS,suggested_school,HOLD NEW No. Albany Middle School,NEW No. Albany Middle School
future_calendar_events,0ico1uqsfdn3ce6bdc4k42t7d1@google.com,2026-11-18,2026-11-18,HOLD NEW No. Albany MS MAKEUPS,NEW No. Albany MS MAKEUPS,picture_day_info,,"NAMS PTA
acsdnamspta@gmail.com
Kim Ruchelm, PTA picture day contact
kimberlyruchel@gmail.com

Renee Serbu, PTA picture day contact
renee.serbu@gmail.com
Arrive:  
Start:  
NEW FALL 2026
Eagle Point PTA referral (many EPES, and ASH kids are here) 
Indoor during PE periods 
Ask about ID cards 
Yearbook - find out details"
future_calendar_events,0ico1uqsfdn3ce6bdc4k42t7d1@google.com,2026-11-18,2026-11-18,HOLD NEW No. Albany MS MAKEUPS,NEW No. Albany MS MAKEUPS,last_modified,20260422T135556Z,20260603T145249Z
future_calendar_events,0phkv55ndsq03ujsqpjrjc3d67@google.com,2027-03-04,2027-03-04,HOLD Shatekon Grad Photos (1 team),Shatekon Grad Photos (1 team),summary,HOLD Shatekon Grad Photos (1 team),Shatekon Grad Photos (1 team)
future_calendar_events,0phkv55ndsq03ujsqpjrjc3d67@google.com,2027-03-04,2027-03-04,HOLD Shatekon Grad Photos (1 team),Shatekon Grad Photos (1 team),suggested_school,HOLD Shatekon,Shatekon
future_calendar_events,0phkv55ndsq03ujsqpjrjc3d67@google.com,2027-03-04,2027-03-04,HOLD Shatekon Grad Photos (1 team),Shatekon Grad Photos (1 team),last_modified,20260601T161049Z,20260601T185741Z
future_calendar_events,2jrdfmui23bfplfntj73k92v1u@google.com,2027-04-23,2027-04-23,HOLD Shatekon Elem Spring Pic Day (2 teams plus one extra photog),Shatekon Elem Spring Pic Day (2 teams plus one extra photog),summary,HOLD Shatekon Elem Spring Pic Day (2 teams plus one extra photog),Shatekon Elem Spring Pic Day (2 teams plus one extra photog)
future_calendar_events,2jrdfmui23bfplfntj73k92v1u@google.com,2027-04-23,2027-04-23,HOLD Shatekon Elem Spring Pic Day (2 teams plus one extra photog),Shatekon Elem Spring Pic Day (2 teams plus one extra photog),suggested_school,HOLD Shatekon Elementary School Spring Pic Day,Shatekon Elementary School Spring Pic Day
future_calendar_events,2jrdfmui23bfplfntj73k92v1u@google.com,2027-04-23,2027-04-23,HOLD Shatekon Elem Spring Pic Day (2 teams plus one extra photog),Shatekon Elem Spring Pic Day (2 teams plus one extra photog),last_modified,20260601T161217Z,20260601T185746Z
future_calendar_events,7ne1edgppoms4ccm1ob22a5e6g@google.com,2027-04-26,2027-04-26,HOLD Shatekon PANO RAIN DATE (1 photog),Shatekon PANO RAIN DATE (1 photog),summary,HOLD Shatekon PANO RAIN DATE (1 photog),Shatekon PANO RAIN DATE (1 photog)
future_calendar_events,7ne1edgppoms4ccm1ob22a5e6g@google.com,2027-04-26,2027-04-26,HOLD Shatekon PANO RAIN DATE (1 photog),Shatekon PANO RAIN DATE (1 photog),suggested_school,HOLD Shatekon,Shatekon
future_calendar_events,7ne1edgppoms4ccm1ob22a5e6g@google.com,2027-04-26,2027-04-26,HOLD Shatekon PANO RAIN DATE (1 photog),Shatekon PANO RAIN DATE (1 photog),last_modified,20260601T161242Z,20260601T185751Z
future_calendar_events,1hi6tj3ms1siidrdc8ekrc32ic@google.com,2027-05-09,2027-05-06,Milton Terrace Spring Photos + 5th Grade Pano (2 teams),Milton Terrace Spring Photos + 5th Grade Pano (2 teams),date,2027-05-09,2027-05-06
future_calendar_events,1hi6tj3ms1siidrdc8ekrc32ic@google.com,2027-05-09,2027-05-06,Milton Terrace Spring Photos + 5th Grade Pano (2 teams),Milton Terrace Spring Photos + 5th Grade Pano (2 teams),end_date,2027-05-09,2027-05-06
future_calendar_events,1hi6tj3ms1siidrdc8ekrc32ic@google.com,2027-05-09,2027-05-06,Milton Terrace Spring Photos + 5th Grade Pano (2 teams),Milton Terrace Spring Photos + 5th Grade Pano (2 teams),last_modified,20260518T175431Z,20260601T191610Z
future_calendar_events,7mp2mn52n63v3ek5f7evsebkcc@google.com,2027-05-10,2027-05-10,Milton Terrace RAIN 5th Grade Photo (1 photog),Milton Terrace RAIN 5th Grade Photo (1 photog),last_modified,20260518T175437Z,20260601T191615Z
future_calendar_events,3q9034cf0tovjbcgrq818jsntk@google.com,2027-05-11,2027-05-12,Wood Road Spring Pics & 5th Grade Pano (2 teams),Wood Road Spring Pics & 5th Grade Pano (2 teams),date,2027-05-11,2027-05-12
future_calendar_events,3q9034cf0tovjbcgrq818jsntk@google.com,2027-05-11,2027-05-12,Wood Road Spring Pics & 5th Grade Pano (2 teams),Wood Road Spring Pics & 5th Grade Pano (2 teams),end_date,2027-05-11,2027-05-12
future_calendar_events,3q9034cf0tovjbcgrq818jsntk@google.com,2027-05-11,2027-05-12,Wood Road Spring Pics & 5th Grade Pano (2 teams),Wood Road Spring Pics & 5th Grade Pano (2 teams),last_modified,20260527T182735Z,20260602T131529Z
future_calendar_events,1n2jpk7bbs6281aqq8lapnf9n1@google.com,2027-05-11,2027-05-19,HOLD DES Spring Photos (2 teams),DES Spring Photos (2 teams),summary,HOLD DES Spring Photos (2 teams),DES Spring Photos (2 teams)
future_calendar_events,1n2jpk7bbs6281aqq8lapnf9n1@google.com,2027-05-11,2027-05-19,HOLD DES Spring Photos (2 teams),DES Spring Photos (2 teams),date,2027-05-11,2027-05-19
future_calendar_events,1n2jpk7bbs6281aqq8lapnf9n1@google.com,2027-05-11,2027-05-19,HOLD DES Spring Photos (2 teams),DES Spring Photos (2 teams),end_date,2027-05-11,2027-05-19
future_calendar_events,1n2jpk7bbs6281aqq8lapnf9n1@google.com,2027-05-11,2027-05-19,HOLD DES Spring Photos (2 teams),DES Spring Photos (2 teams),suggested_school,HOLD DES Spring,DES Spring
future_calendar_events,1n2jpk7bbs6281aqq8lapnf9n1@google.com,2027-05-11,2027-05-19,HOLD DES Spring Photos (2 teams),DES Spring Photos (2 teams),last_modified,20260601T170729Z,20260603T164246Z
