client_event_id,uid,date,summary,old_event_type,new_event_type,old_suggested_school,canonical_school,match_method,match_score,needs_manual_school_review
ics_64b885c992192a71,7viqn2kh0tool6jov0ftjljp2p@google.com,2025-11-03,Latham Christian Academy Makeups (1 team),makeup/retake,Makeup Day,Latham Christian Academy,The Academies (AA/G),manual_alias,1.0,False
ics_2c1ae0f6521e3c2e,63g0j3uok7n9b9c59181qk7kef@google.com,2025-06-18,Heatly Field Day RAIN (1 photog),review,Rain Date,Heatly Field Day RAIN,Heatly School,manual_alias,1.0,False
ics_53093fd56c604461,7rfdg59lu2f9js7fc14gt6704l@google.com,2026-06-04,Academy Closings,photo booth,Photo Booth,Academy Closings,The Academies (AA/G),manual_alias,1.0,False
ics_91f9c7b2def83c0d,3421fenretumiu7oa21gteo3m6@google.com,2026-09-22,Atrea ELC SHEN (3 teams),review,Fall Picture Day,Atrea ELC SHEN,,unmatched,0.5625,True
ics_c26f42be528ad90f,4loh9cv4svi3jijt55ko9l8sg3@google.com,2025-10-14,Arbor Hill Elementary AM ONLY (2 teams),graduation/pano,Fall Picture Day,Arbor Hill Elementary AM ONLY,,unmatched,0.7368421052631579,True
ics_36e032a70d7ed47e,0ralfhq9vgmcah3298vsg28l8f@google.com,2026-04-24,Shatekon Elem Spring Pic Day (2 teams plus one extra photog),graduation/pano,Spring Picture Day,Shatekon Elementary School Spring Pic Day,Shatekon Elementary School (Shenendehowa School District),manual_alias,1.0,False
ics_8a970590ffb66315,0do3ke4rtb1m77lgk3c7ff2ag7@google.com,2026-09-30,HOLD Karigon Elementary School (2 teams),review,Fall Picture Day,HOLD Karigon Elementary School,Karigon Elementary School (Shenendehowa School District),manual_alias,1.0,False
ics_e638379f8dc83d85,4kre35id83b9jivc6e3e148g8d@google.com,2025-09-30,Union College Career Fair EVENING,review,Fall Picture Day,Union College Career Fair EVENING,,unmatched,0.42857142857142855,True
ics_db7323bd46b21e6b,1cdhvrvspprfh7ttlfkpql4cfd@google.com,2026-09-15,Hoosic Valley Seniors (1 team),senior portraits,Seniors,Hoosic Valley,Hoosic Valley MS/HS,manual_alias,1.0,False
ics_27e202dc4b3e6fd4,3h0vss2o3d1j0vm1g64vb5l855@google.com,2025-09-26,Berne-Knox-Westerlo Secondary School (1 team),graduation/pano,Fall Picture Day,Berne-Knox-Westerlo Secondary School,,unmatched,0.5306122448979592,True
ics_7b114059748dfda2,23ir2dl4mhihun3nsvj2mpjb38@google.com,2025-06-25,Karigon Immigration Day (1 photog EARLY AM),internal/non-shoot review,Call or Meeting,Karigon Immigration Day,Karigon Elementary School (Shenendehowa School District),manual_alias,1.0,False
ics_9f42e159c8d0ba9f,398gaqtssuh22um34u2voshtrb@google.com,2025-11-03,Troy School 14 Elem (2 teams),review,Fall Picture Day,Troy School Elementary School,Troy School 14,fuzzy,1.0,False
ics_faaacc08b17bddc9,7lgregiphb5kmd5k83cnls8pm4@google.com,2025-11-05,Little Achiever's Preschool (1 team),picture day,Fall Picture Day,Little Achiever s Preschool,,unmatched,0.7441860465116279,True
ics_a50871c9303eb334,35t90gqhe13v6urtrc9ucan7q1@google.com,2027-06-12,LCS Graduation Morning (Matt + 1 photog),graduation/pano,Special Event,LCS Graduation,,unmatched,0.5,False
ics_20d95b339b5d177f,2jdkpjalu6575asgj8ckdchdcv@google.com,2025-09-22,Walter B. Howard Elem (1 team),review,Fall Picture Day,Walter B. Howard Elementary School,Walter B Howard,fuzzy,1.0,False
ics_b786f6ecc86fb999,3glc10ju0cpc8ro6jn2d4697d4@google.com,2026-04-20,ERIN First Day!,review,Special Event,ERIN First Day,,unmatched,0.48,False
ics_56a1e65eaf013cb9,7j9g33o8abprvlis19m80pv9uf@google.com,2026-10-08,Gordon Creek Elem Fall Picture Day (2 teams),picture day,Fall Picture Day,Gordon Creek Elementary School Fall,Gordon Creek Elementary School (Ballston Spa School District),manual_alias,1.0,False
ics_8a76e377ba7776b0,0cqm2ps7kinlj1bljdk4gqs5tq@google.com,2026-09-29,HOLD Chango Elem Picture Day (2 Teams),picture day,Fall Picture Day,HOLD Chango Elementary School,Chango Elementary School (Shenendehowa School District),manual_alias,1.0,False
ics_43e80a441020d5a3,023DC03A-7C01-4767-8A69-3BD5684CA504,2025-06-05,Middle School Closings Steph,review,Special Event,Middle School Closings,,unmatched,0.5,False
ics_1eb13e13e844d44d,1mr1hppb39dfb37ld64bt7gm1c@google.com,2026-03-30,Elevate Dance Project Day 1 4;00-8;30 PM,review,Special Event,Elevate Dance Project Day,,fuzzy,1.0,False
ics_104f22f19098d1e9,7fqsdhvpmtcl4mcgdp70eq733e@google.com,2025-10-09,Wood Road Elem Fall Photos (2 teams),picture day,Fall Picture Day,Wood Road Elementary School Fall,Wood Road Elementary School (Ballston Spa School District),manual_alias,1.0,False
ics_4395a4b0153070da,7e1ej5ivpc7ci2sqagkvffvfab@google.com,2025-08-28,Berne-Knox-Westerlo SENIORS (2 photogs),senior portraits,Seniors,Berne-Knox-Westerlo,,unmatched,0.5909090909090909,True
ics_71ff88251e39ff8d,56qqhjugj334cpcs8ttpgdj0pf@google.com,2025-09-16,Hoosic Valley MS/HS (1 team) Underclass,senior portraits,Fall Picture Day,Hoosic Valley Middle School/High School Underclass,Hoosic Valley MS/HS,manual_alias,1.0,False
ics_419698feda8a81f6,FED95BF3-CEEA-4A2C-A5FF-AA11293DE3A3,2026-10-31,Hold Photo Booth for Erin Snyder,photo booth,Photo Booth,Hold for Erin Snyder,,unmatched,0.46153846153846156,False
ics_81e67dbd782fc601,2q76ho2sv9n8u9g6o2rfirm6rr@google.com,2026-06-27,Cairo-Durham Graduation RAIN DATE (2 photogs),senior portraits,Rain Date,Cairo-Durham Graduation,,unmatched,0.6976744186046512,True
ics_800863c57833d3c4,5ekkkk0taj91b95kf11nvdanq5@google.com,2025-09-04,Academy Upper School Pics (New/Mentor/US),internal/non-shoot review,Fall Picture Day,Academy Upper New/Mentor/US,The Academies (AA/G),manual_alias,1.0,False
ics_22237584d5189c56,04v92dfcg806l0hjvastmp3p49@google.com,2026-03-05,Shatekon Grad Photos (1 team),graduation/pano,Special Event,Shatekon,Shatekon Elementary School (Shenendehowa School District),manual_alias,1.0,False
ics_6f9140305f4d0976,5ktqt1h1s9tjksvjjul2jdlepa@google.com,2026-09-16,HOLD Rosendale Elementary (2 teams+1),review,Fall Picture Day,HOLD Rosendale Elementary,Rosendale Elementary School (Niskayuna School District),manual_alias,1.0,False
ics_60a7a35f148eeb3b,1pucsq6i8dk93au4ls1ck48ion@google.com,2026-09-21,Capital Region BOCES Albany CTE Main (2 Teams),internal/non-shoot review,Fall Picture Day,Capital Region BOCES Albany CTE Main,,unmatched,0.5,True
ics_e1416b4ca45af8e3,50c2r8q3f43l7ipprqakus4jsi@google.com,2025-12-11,Dean Leber Leadership Headshots STEPH,review,Headshots,Dean Leber Leadership Headshots,,unmatched,0.4745762711864407,False
ics_0701288d27f27dad,7h418lhv5kb5k50jncdh2rqe3r@google.com,2025-12-04,Airline Drive Academy Makeups (1 Team),makeup/retake,Makeup Day,Airline Drive Academy,The Academies (AA/G),manual_alias,1.0,False
ics_41f1801eb315efe1,7r435gua9c75vihovleo5a1fmn@google.com,2026-06-03,Little Scholars Viaport Spring and Grads (1 team),graduation/pano,Special Event,Little Scholars Viaport Spring Grads,Little Scholars,manual_alias,1.0,False
ics_fcd3b34d08502e09,1n7nobqefv42n9bngra8scle75@google.com,2026-05-13,Karigon PANO RAIN DATE (1 photog),graduation/pano,Rain Date,Karigon,Karigon Elementary School (Shenendehowa School District),manual_alias,1.0,False
ics_97f94ee0d50b18b7,34uqqfh6g9hb370hq1jpopc39a@google.com,2025-09-25,Skano Elem Picture Day (3 teams),picture day,Fall Picture Day,Skano Elementary School,Skano Elementary School (Shenendehowa School District),manual_alias,1.0,False
ics_4cab0fa0fe07a969,4o0hsbt3kf8tktk376unbrgu6g@google.com,2026-06-05,Senior Tea (Academy),senior portraits,Seniors,Senior Tea Academy,The Academies (AA/G),manual_alias,1.0,False
ics_7cb4a7b2897886c6,7cut6l3dbvah8fch3pbf25d62e@google.com,2027-05-18,Tesago 5th Grade Group RAIN (1 photog),graduation/pano,Rain Date,Tesago 5th Grade Group RAIN,Tesago Elementary School (Shenendehowa School District),manual_alias,1.0,False
ics_a8abd64dc173bbb1,6a8j3j83lsoi8sgpu5eqil34pq@google.com,2025-06-26,Arongen 5th Grade Graduation 8:00-10,graduation/pano,Special Event,Arongen 5th Grade Graduation,Arongen Elementary School (Shenendehowa School District),manual_alias,1.0,False
ics_a482b8821adc8910,225me70mirr8tv57lm4mv1uifn@google.com,2025-08-07,Pachira White Party LAUREN,review,Special Event,Pachira White Party,,unmatched,0.4489795918367347,False
ics_1b45e5d66cd72930,2spc1gl00e7u9hpbief7ahqqh1@google.com,2026-04-02,Northville Spring Sports & Clubs (2 photogs),senior portraits,Sports,Northville & Clubs,Northville,manual_alias,1.0,False
ics_810f6114a384a704,6si2ojaeig8c0tn7fsla2qshns@google.com,2025-12-11,Kira's Kids Corner - Rotterdam (Lauren),review,Special Event,Kira s Kids Corner - Rotterdam,,fuzzy,1.0,False
ics_ab73f94bb0a284ed,47vkjphkaqp3dj07dhr51aj2f5@google.com,2025-10-16,Waterford-Halfmoon Elem MAKEUP DAY (same team as HS),makeup/retake,Makeup Day,Waterford-Halfmoon Elementary School,Waterford Halfmoon Elem,manual_alias,1.0,False
ics_daa606e6925e0033,0ei9a9huvo71qqqp7lr0ov5glj@google.com,2026-02-17,Belanger Nursing Senior Photos (2 photogs),senior portraits,Seniors,Belanger Nursing Senior,Belanger Nursing Seniors,fuzzy,0.9787234042553191,False
ics_972d27e3fcefedea,7ke264u2h9tcdnmggerhdims3f@google.com,2025-11-13,Albany JCC (1 team),picture day,Fall Picture Day,Albany JCC,Albany JCC,manual_alias,1.0,False
ics_f295da5ea69cbd3f,43kjiecuehp9o48u980ri2sem8@google.com,2025-09-27,Rotterdam Youth Soccer,sports,Sports,Rotterdam Youth Soccer,,unmatched,0.5142857142857142,True
ics_b8e226d6e7087a2a,2kq5bmi8guru039rjtmt9hbeih@google.com,2026-06-02,Olivia Singer Rain date 9;00 STEPH,review,Rain Date,Olivia Singer,,unmatched,0.47619047619047616,True
ics_cf1325142106cfdd,1pqj4q9p8j5hj903o5bl6nr7tg@google.com,2025-09-08,Photo booth Siena,photo booth,Photo Booth,Siena,,unmatched,0.5,False
ics_3544a16e2f55e33b,5uc6j1h0dj82l1245kg1qge5n1@google.com,2026-05-20,"TSL Kids Crew, Rotterdam & Grads (1 photog)",graduation/pano,Special Event,TSL Kids Crew Rotterdam & Grads,TSL Rotterdam,fuzzy,1.0,False
ics_afdfb328a371da8c,4scc1fp1rc57mr1h2ajft40dvq@google.com,2025-11-20,Maple Leaf Halfmoon (2 teams-baby team/toddler team),review,Fall Picture Day,Maple Leaf Halfmoon,Maple Leaf - Halfmoon,fuzzy,1.0,False
ics_858ae45af31b955e,7ptsvi6g9v53hcbq1occvhck0n@google.com,2025-11-20,Woestina Elem Pre-K AM,picture day,Fall Picture Day,Woestina Elementary School Pre-K AM,,unmatched,0.6578947368421053,True
ics_07c7ac0f5ab0817b,4rmanrpcacos26bi3cdstef70i@google.com,2025-06-05,Victoria and Nathan Wedding Consult On-Site 5pm (Matt),review,Special Event,Victoria Nathan Wedding Consult On-Site,,unmatched,0.38596491228070173,False
ics_5d965056e8507431,2fmsm9ui51vutdmjibjomhbtac@google.com,2026-05-06,TSL Daycare Guilderland (1 team),spring picture day,Spring Picture Day,TSL Daycare Guilderland,TSL Guilderland,fuzzy,1.0,False
ics_5ec082703a7cf501,2jjvhdkf7mvbv59vd1s7ocn4l7@google.com,2026-10-19,Duanesburg Makeup Day Elem & MSHS (1 team),makeup/retake,Makeup Day,Duanesburg Elementary School & MSHS,D'burg Elementary,manual_alias,1.0,False
ics_98c254fe4b5e0c8d,38fuucrfja497o0rtghnr90al3@google.com,2026-03-11,Milton Terrace Yearbook Photos (1 photog),review,Special Event,Milton Terrace Yearbook,Milton Terrace Elementary School (Ballston Spa School District),manual_alias,1.0,False
ics_7b5f7900f17867af,2d2meddmilhee6j9u5c5rrum5s@google.com,2026-03-12,Little Journeys Daycare (1 team),spring picture day,Spring Picture Day,Little Journeys Daycare,Little Journeys,fuzzy,1.0,False
ics_fcb3a79edaf8fa4a,57aejplipcs8kh1fqluulrfifu@google.com,2025-10-09,Albany Academy Makeup Day (1 photog),makeup/retake,Makeup Day,Albany Academy,The Academies (AA/G),manual_alias,1.0,False
ics_3a333d6927bbfa2e,6g3h0qrpo2us64nafl6ak6am0n@google.com,2026-05-19,REDO Gordon Creek PANO 5th Grade (1 photog),makeup/retake,Makeup Day,REDO Gordon Creek 5th Grade,Gordon Creek Elementary School (Ballston Spa School District),manual_alias,1.0,False
ics_4ca49f4eb1f85567,2vhgvbo426l3bimapa00p60kl0@google.com,2025-10-27,Wildwood School - Latham Site (Andrew +1),review,Fall Picture Day,Wildwood School - Latham Site,Wildwood,manual_alias,1.0,False
ics_4b29fb5066c2f596,0ntkdk0iru89e6nbjgl5ed9u0g@google.com,2025-10-22,Walter B Howard Makeup Day (1 team),makeup/retake,Makeup Day,Walter B Howard,Walter B Howard,fuzzy,1.0,False
ics_204e8a4a92b0c8a3,4dp1tqdlk4ok0o73dk9h794sts@google.com,2025-11-21,Yates Elementary Makeups (1 team),makeup/retake,Makeup Day,Yates Elementary,Stevens Elementary,fuzzy,0.8235294117647058,False
ics_b3041e32bfb65826,547d77s57h6tsbpu25rkodfksu@google.com,2026-03-22,(Quick) Easter Bunny Quicks School Team Robert confirmed for bunny,review,Special Event,Quick Easter Bunny Quicks School Team Robert for bunny,,unmatched,0.5,False
ics_9bc1699b7e580e0c,7tdno5rgt5c0us4g6qcnbab2hb@google.com,2025-11-18,Eagle Point Elem Makeups (1 team),makeup/retake,Makeup Day,Eagle Point Elementary School,,unmatched,0.7368421052631579,True
ics_79ffc0ece37110c3,52b6jikfl6le632ktsuvmhu6tk@google.com,2026-02-04,Siena Career Fair 1 Photog,review,Special Event,Siena Career Fair Photog,,unmatched,0.5142857142857142,False
ics_edd96763fe3a7dd8,58g9gerfnu10kmtoh3vmkbp8no@google.com,2027-02-05,Heatly 8th Grade Grad Photos (1 photog + Asst),graduation/pano,Special Event,Heatly 8th Grade,Heatly School,manual_alias,1.0,False
ics_7798967c9a3120a0,77erosl1hq01bhdtc4ckogm0nm@google.com,2026-04-20,"Spotted Zebra (2 days, 1 team REQ Andrew +1)",review,Special Event,Spotted Zebra,,fuzzy,1.0,False
ics_f2d98c6aa6726200,08m3i8ocm218obh449juv48dh9@google.com,2026-11-05,Wood Road Makeup Day (1 team),makeup/retake,Makeup Day,Wood Road,Wood Road Elementary School (Ballston Spa School District),manual_alias,1.0,False
ics_236e92b91f237da7,4gsu86kn5a7o20ddhnr0d3l6bc@google.com,2026-06-25,BKW Graduation 1 Photog,graduation/pano,Special Event,BKW Graduation Photog,,unmatched,0.5,False
ics_e4d3b8b48ac85e8f,3dfhkctq54caabca6p94spca9g@google.com,2025-09-02,Academy (US Campus) Senior Photos (2 photogs),senior portraits,Seniors,Academy Senior,The Academies (AA/G),manual_alias,1.0,False
ics_6775636b2cde597e,3fb1i5mmpi4kirme1b1o8e1m2o@google.com,2025-09-29,School Team Huddle 8pm?,review,Fall Picture Day,School Team Huddle,,unmatched,0.5,True
ics_045910259bc36fef,1h1omcdlgd32lap0t7acqa399e@google.com,2027-05-03,HOLD Little Achiever's Preschool (1 team),picture day,Spring Picture Day,HOLD Little Achiever s Preschool,,unmatched,0.7441860465116279,True
ics_b53e5726abf817f4,3cv23hel9dedls8rsfqhguicdc@google.com,2026-04-30,TSL East Greenbush UPK & Grads (1 photog),graduation/pano,Special Event,TSL East Greenbush UPK & Grads,TSL East Greenbush,fuzzy,1.0,False
ics_83b614a79b6831e4,5rksgv49fch7id9c590ie5ubq9@google.com,2027-03-10,HOLD Arongen Yearbook Photos (1 photog),review,Special Event,HOLD Arongen Yearbook,Arongen Elementary School (Shenendehowa School District),manual_alias,1.0,False
ics_c9d9ecb1f82a6749,2f73lrrju06gqe7hseirt7bt3t@google.com,2026-04-20,Shaker Seniors 2 Photogs,senior portraits,Seniors,Shaker Photogs,Shaker Seniors,fuzzy,1.0,False
ics_14e54e845e01fe27,613qip9unti0e7b0u4qhg475c6@google.com,2025-12-04,DUANESBURG Winter Sports (1 team),sports,Sports,DUANESBURG,D'burg Elementary,manual_alias,1.0,False
ics_9de149357c4e1289,0dg0scnqeic3tp53rlr1vktnjf@google.com,2025-06-28,Cairo-Durham Graduation RAIN DATE (2 photogs),senior portraits,Rain Date,Cairo-Durham Graduation,,unmatched,0.6976744186046512,True
ics_c5e96405cea1e1dc,31kcdjg4mn6pcvlpv6ser28098@google.com,2026-10-06,HOLD Cohoes High School (1 team),review,Fall Picture Day,HOLD Cohoes High School,Cohoes High School,fuzzy,1.0,False
ics_3b1f1540d8ea0731,0jjq43209hflkt98qpimp51oid@google.com,2026-07-27,NYS Defenders Association Headshots SARATOGA,review,Headshots,NYS Defenders Association Headshots SARATOGA,,unmatched,0.4421052631578947,False
ics_f38b48e5fd0760e8,0jjn15oi0lu131ko4915oe4ep1@google.com,2025-09-19,*DO NOT BOOK ANYTHING ELSE THANK YOU,review,Fall Picture Day,DO NOT BOOK ANYTHING ELSE THANK YOU,,unmatched,0.4230769230769231,True
ics_5e727fb1bbaf7549,50c87sm346q56jadq1d14tq4gk@google.com,2025-11-21,New Lebanon SENIORS Day 2 (1 team),makeup/retake,Makeup Day,New Lebanon Day,New Lebanon Seniors,fuzzy,1.0,False
ics_c86c9415e0d68af7,420kg1mihvacll2et3nibpgu67@google.com,2026-10-22,Loudonville Christian Makeup/Seniors Day (1 team),makeup/retake,Makeup Day,Loudonville Christian Makeup/ Day,Loudonville Christian,manual_alias,1.0,False
ics_600755e0794d7d25,6ce36u9j028dr78vvknv90mbi8@google.com,2026-06-08,AAG Commencement,senior portraits,Seniors,AAG Commencement,,unmatched,0.5,True
ics_174a141cc34935cb,5j84vks61igom2k2kspic5hptb@google.com,2025-09-09,Capital Region BOCES Schoharie (1 Team),internal/non-shoot review,Fall Picture Day,Capital Region BOCES Schoharie,,unmatched,0.4888888888888889,True
ics_00efd71146a580d8,4e4b2jircl6l8qato6ikusmtn6@google.com,2025-09-12,Okte Elementary OUTDOOR (2 teams),review,Fall Picture Day,Okte Elementary OUTDOOR,Okte Elementary School (Shenendehowa School District),manual_alias,1.0,False
ics_17134c39c124fdb5,6fptmdckqv8edv517uhje2ts99@google.com,2025-10-04,Steph out of town,review,Special Event,out of town,,unmatched,0.41379310344827586,False
ics_c2776428465f5605,5vojs5dan3u80o1a5nurq1mhrh@google.com,2026-05-19,Outdesk Interviews 11;30,internal/non-shoot review,Special Event,Outdesk Interviews,,unmatched,0.4444444444444444,False
ics_e29da08efd59c834,3057c6qpeeckrngi80lbagsdip@google.com,2026-04-16,Arbor Hill Elementary AM ONLY (2 teams),spring picture day,Spring Picture Day,Arbor Hill Elementary AM ONLY,,unmatched,0.7368421052631579,True
ics_f9af71329efc2d06,3u8rp1gkjdaagqbfucnahlu4sv@google.com,2026-02-10,Cairo-Durham Elem Spring (1 team),spring picture day,Spring Picture Day,Cairo-Durham Elementary School Spring,Cairo-Durham Elem,fuzzy,1.0,False
ics_af2ca2fd194a3840,1hggfqdeqf4q5adtujqitt8pm4@google.com,2025-10-08,Stevens Elementary (Burnt Hills) (2 TEAMS),internal/non-shoot review,Fall Picture Day,Stevens Elementary Burnt Hills,Stevens Elementary,fuzzy,1.0,False
ics_0b9e0a8227681b08,1330otfbsu4tps3kvpvvm536le@google.com,2026-09-10,HOLD Albany Academy (2 teams +1 class),graduation/pano,Fall Picture Day,HOLD Albany Academy,The Academies (AA/G),manual_alias,1.0,False
ics_28da834d3cff8976,7omng1u9m1i83ego5tis5kk4qp@google.com,2026-04-28,"TSL Daycare, Troy (STRONGLY REQ Lauren)",spring picture day,Spring Picture Day,TSL Daycare Troy,TSL Troy,fuzzy,1.0,False
ics_933aeb0d9194cea9,49beq1tv9a7aagbjjle1mqqbf1@google.com,2026-03-02,Lawton Social Google Meet 11;00,review,Special Event,Lawton Social Google Meet,,unmatched,0.38461538461538464,False
ics_7c7218231df17535,4989p2fiadig6e4lsa10n9v1qn@google.com,2025-06-13,LCS Grad Rehearsal Morning (Matt),graduation/pano,Special Event,LCS Grad Rehearsal,,unmatched,0.5,False
ics_e6b6915299356202,1f6pejrmlrs99ki9r0gl81q64s@google.com,2026-06-26,Cairo-Durham Graduation (2 photogs),senior portraits,Seniors,Cairo-Durham Graduation,,unmatched,0.6976744186046512,True
ics_60f08d1d37576991,6hetd73tt9vcgig6je75j863lg@google.com,2025-11-04,Airline Drive Academy (1 Team),review,Fall Picture Day,Airline Drive Academy,The Academies (AA/G),manual_alias,1.0,False
ics_95416b712408b89f,3la97sh4qhd7uvpsbub5schr5t@google.com,2025-09-17,NEW Rosendale Elementary (2 teams+1),review,Fall Picture Day,NEW Rosendale Elementary,Rosendale Elementary School (Niskayuna School District),manual_alias,1.0,False
ics_d6eb0b7f313bb928,1B7D68CD-4F08-4EBD-BF37-752B36C17C88,2026-08-27,Maureen Parker day at track,review,Special Event,Maureen Parker day at track,,unmatched,0.4727272727272727,False
ics_035496c253b57b2a,B4D89AA9-ABB4-4756-BD66-20DAB20CF425,2025-10-10,No Steph if possible,review,Fall Picture Day,No if possible,Skano Elementary School (Shenendehowa School District),manual_alias,1.0,False
ics_9622b317ce4c79f7,24193g0bfg7045bph60uh6ubgg@google.com,2026-11-18,Pooh's Corner Picture Day (1 team),picture day,Fall Picture Day,Pooh s Corner,Poohs Corner,fuzzy,0.96,False
ics_ea53a4734446e052,2rugdkirnr6nvnk6kqg6uleacd@google.com,2026-03-12,Wood Road Yearbook Photos (1 photog),review,Special Event,Wood Road Yearbook,Wood Road Elementary School (Ballston Spa School District),manual_alias,1.0,False
ics_17d862fd49242f9b,57kv0ldve7asn506f53fam8nac@google.com,2025-10-08,Matt Meeting with REMOVE.BG 10am,internal/non-shoot review,Call or Meeting,Meeting REMOVE.BG,,unmatched,0.42857142857142855,False
ics_4aecaaa8477aa230,46mjcp21h3if6sibbt5eqimnu2@google.com,2026-04-13,RPI,review,Special Event,RPI,,unmatched,0.5,False
ics_5dc177253b96f82a,6eml07j935vj50osu6iem645ba@google.com,2025-08-11,Cohoes High School Seniors (2 photogs),senior portraits,Seniors,Cohoes High School,Cohoes High School,fuzzy,1.0,False
ics_74e0162b1d5137e5,7ste5li79qj6b4vbdqb1qh0bif@google.com,2025-12-08,Waterford-Halfmoon Family Photo Night,review,Special Event,Waterford-Halfmoon Family Photo Night,Waterford MS/HS,manual_alias,1.0,False
ics_ac5e1f1222aa995f,193todhnis73k31l2jot1l744g@google.com,2025-10-15,Cairo-Durham Elem Makeups (1 team),makeup/retake,Makeup Day,Cairo-Durham Elementary School,Cairo-Durham Elem,fuzzy,1.0,False
ics_f18472f018722f87,5emmgth8n4mfns0qsr4f75jbos@google.com,2025-11-06,Little Scholars Viaport (1 team),review,Fall Picture Day,Little Scholars Viaport,Little Scholars,manual_alias,1.0,False
ics_e00d540ceeb108ed,3bon8tt1afrb40hn8upiaigp0c@google.com,2025-11-21,Maple Leaf MALTA NORTH (2 teams),picture day,Fall Picture Day,Maple Leaf MALTA NORTH,Maple Leaf - Malta North,fuzzy,1.0,False
ics_e7e12bd790629b48,643kc1eq5a9q809oe70uldikpa@google.com,2025-10-01,Latham Christian Academy (1 team),senior portraits,Fall Picture Day,Latham Christian Academy,The Academies (AA/G),manual_alias,1.0,False
ics_9a582add74e803e7,4uj0k8oc4lsu6dmnr8sook4m9v@google.com,2026-06-24,Eagle Point 5th Grade Graduation (1 photog),graduation/pano,Special Event,Eagle Point 5th Grade Graduation,,unmatched,0.4666666666666667,False
ics_0ab3b131bbf12067,43frmfh74f7gd7cpln143fapmj@google.com,2025-10-07,Cohoes High School (1 team),review,Fall Picture Day,Cohoes High School,Cohoes High School,fuzzy,1.0,False
ics_8633657f2a76531a,713pg4jstgjnp17jttkju9q63j@google.com,2026-04-14,BKW Spring Sports (2 photogs),sports,Sports,BKW,BKW Seniors,fuzzy,0.7619047619047619,False
ics_5e059f04ee7a65fa,3vnfoke64gigjq8dk161upa31q@google.com,2026-09-09,Green Tech MS/HS (2 photogs on Day 1; 1 photog Day 2 + asst),graduation/pano,Fall Picture Day,Green Tech Middle School/High School,Green Tech MS/HS,manual_alias,1.0,False
ics_333baa15c363510a,3k7k3vpqmehqo7q35mh4t683ir@google.com,2026-08-13,Pachira - White Party ( Lauren),review,Special Event,Pachira - White Party,,unmatched,0.4489795918367347,False
ics_a8c765de6729db17,1lpfi1dd4dul9b9v1e028rba2c@google.com,2025-12-10,Santa Nick booked,review,Special Event,Santa Nick booked,,unmatched,0.47058823529411764,False
ics_230ef2c4366c2517,3q9034cf0tovjbcgrq818jsntk@google.com,2027-05-12,Wood Road Spring Pics & 5th Grade Pano (2 teams),graduation/pano,Special Event,Wood Road &,Wood Road Elementary School (Ballston Spa School District),manual_alias,1.0,False
